Proper name,Distance (ly),Mass (M☉),Radius (R☉),Luminosity (L☉)
Sun,0.000015813,1,1,1
Sirius,0008.6,2.1,1.71´,25.4
Canopus,0310,15,71,13500
Alpha Centauri,0004.4,1.1,1.2,2
Arcturus,0037,1.1,26,170
Vega,0025,2.2,2.7,50
Capella,0043,2.6,12,150
Rigel,0860,23,78.9,120000
Procyon,0011.4,1.5,1.9,7.7
Betelgeuse,0640[1],20,950,60000
Achernar,0144,6.7,9.3,3000
Hadar,0390,10.5,8.6,42000
Altair,0017,1.8,1.8,10.5
Acrux,0320,18,8.9,25000
Aldebaran,0065,1.5,44,520
Antares,0600,12,680,75000
Spica,0260,11.43,7.47,20512
Pollux,0034,1.9,8.8,43
Fomalhaut,0025,1.9,1.8,16.6
Deneb,2600,19,203,200000
Mimosa,0350,16,8.4,34000
Regulus,0077,3.8,3.1,290
Adhara,0430,12.5,14,39000
Shaula,0700,14.5,8.8,36000
Castor,0052,2.8,2.4,30
Gacrux,0088,1.5,84,820
Bellatrix,0240,8.6,5.8,9200
Elnath,0130,5.0,4.2,700
Miaplacidus,0110,3.5,6.8,290
Alnilam,2000,32,42,380000
Gamma Velorum,01100,9.0,6,170000
Alnair,0101,4.0,3.4,260
Alioth,0081,2.9,4.2,110
Alnitak,01050,33,20,120000
Dubhe,0120,4.25,30,300
Mirfak,0590,8.5,68,5000
Wezen,1600,17,200,82000
Sargas,0270,5.7,26,1800
Kaus Australis,0140,3.5,6.8,360
Avior,0630,9.0,130,60000
Alkaid,0104,6.1,3.4,1350
Menkalinan,081,2.39,2.77,50
Atria,0390,7,92,5500
Alhena,0109,2.8,3.3,120
Peacock,0180,5.9,4.8,2200
[2],0080,2.4,2.9,90
Mirzam,0500,13.5,10,27000
Polaris,0430,5.4,39,2500
Alphard,0180,3.0,50,780
Mintaka,01200,24,16.5,190000
Scheat,0196,2.1,95,1500
Almaaz,0653,15,140,43000
Rasalgethi,0360,2.8,280,8300
Tau Ceti,011.9,0.783,0.893,0.52
Delta Pavonis,019.92,0.991,1.22,1.22
Ran,010.48,0.82,0.74,0.34
V382 Carinae,08900,20,485,212000
Eta Carinae,07500,100,60–881,5000000
Delta Cephei,0887,4.5,44.5,2000
Mu Cephei,06000,19.2,972,135000
Titawin,044.25,1.27,1.48,3.57
Rho Cassiopeiae,08154,22,808.5,438500.0
P Cygni,05545,30,76,610000
La Superba,01000,,235.5,4136.0
VV Cephei,04900,18.2,783.0,200000
61 Cygni,011.41,0.7,0.665,0.153
R Doradus,0178,0.85,298,4350
Polaris Australis,0281,1.59,3.74,38
R Coronae Borealis,04566,0.85,85,10000
54 Piscium,036.1,0.76,0.94,0.52
Mira,0300,1.2,370,9000
RW Cephei,014000,13.9,1158,417000
Lacaille 8760,012.87,0.6,0.51,0.072
V838 Monocerotis,019896,?,565.0,15000
HD 140283,0190,?,1.4,3.83
II Pegasi,0130,0.8,3.4,1.06
VY Canis Majoris,03900,17,1420,224000.0
Pistol Star,025000,100,320,1700000
S Doradus,0169000,24,380,910000
UY Scuti,05100,7–10,755,86700.0
Barnard's Star,05.98,0.14,0.20,0.0035
Luhman 16,06.52,0.04,?,?
Proxima Centauri,04.25,0.12,0.15,0.0017
KIC 8462852,01470,1.43,1.58,4.68
R136a1,0163000,290,32,8710000
Melnick 42,0163000,189,21.1,3600000
WR 102,018134,19,0.39,282000
VFTS 352,0164000,57.48,14.47,330000
YBP 1194,02772,1.01,0.99,0.98
Gliese 1214,047.5,0.16,0.21,0.0033
NML Cygni,05251,50,2205.0,229000
VB 10,018.72,0.075,0.10,0.0004
WOH G64,0163000,<20,1635.0,294670.0
TRAPPIST-1,039.6,0.089,0.12,0.0005
2MASS J0523-1403,040.3,0.07,0.086,0.00013
WISE 0855−0714,07.27,0.003,?,?
Icarus,014400000000,33,?,850000
